"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"Ccdc117" 0.333301621649081 7.63484102258223 5.30132885071838 3.22114117748566e-07 3.05709763010245e-05 6.3368904466588
"Rnf213" 0.273829257716441 7.32555173950798 5.23760680002964 4.35737359357993e-07 4.10825795852592e-05 6.05001509173177
"Gm47283" -0.573610081614796 9.21248465843242 -5.23210774240439 4.47195735934787e-07 4.18873339325584e-05 6.02537823162949
"Lamp2" 0.426207408145461 7.72763212056071 5.2247599086103 4.62964629420586e-07 4.30827669105612e-05 5.99248832381213
"Susd3" -0.52626582299143 8.8917204776214 -5.19518606453979 5.32078837355341e-07 4.9194979471867e-05 5.86045767015152
"Ddx39b" 0.394301121456491 8.6031672023259 5.19338971410632 5.36585460221231e-07 4.92936296822465e-05 5.85245586198904
"Atp1a1" 0.493324726692094 8.52081162471762 5.15921518624304 6.29735477724333e-07 5.7482414848837e-05 5.70061779489443
"Rnf207" 0.489258900710654 8.53332917271674 5.15713043813106 6.35900025056431e-07 5.76777421460995e-05 5.69137935771345
"Map3k1" 0.365020118577423 7.67610740055833 5.14830293062503 6.62658699986091e-07 5.97268039591237e-05 5.65229161981397
"Antxr2" 0.233982494164179 7.310604883302 5.146721619178 6.67566254252858e-07 5.97930749356107e-05 5.64529492871898
"Slc17a7" -0.563736387536236 10.3393501862647 -5.13812247233084 6.94877701749692e-07 6.18527474768624e-05 5.60727510520895
"Ccdc85c" 0.434784118413694 7.86102448959239 5.11862239436357 7.60892563603663e-07 6.73108106728647e-05 5.52123446578711
"Slc31a2" 0.445452696055036 8.61173051414207 5.10196011185296 8.22091969817923e-07 7.22785277267525e-05 5.44790911198947
"Snhg15" 0.3553879867386 7.71528012054575 5.09431212491908 8.51757797667424e-07 7.44301280388528e-05 5.41431278834098
"Flot1" 0.396974431422122 7.85321247961754 5.09212090932212 8.60447115201229e-07 7.47337430784776e-05 5.4046941147212
"Cfap410" 0.329250272388818 7.64671388193953 5.066489818304 9.68698687869668e-07 8.36290415413266e-05 5.29241350073953
"Daxx" 0.277054743925768 7.50159166239963 5.0409870512541 1.08947387018776e-06 9.34925151716216e-05 5.1811185926734
"Irgm1" 0.369018953245129 7.3922061661105 5.0518944530395 1.15457952675057e-06 9.84897571301333e-05 5.13658327087352
"Grtp1" -0.417984857679613 8.46496687970592 -5.02621399739503 1.1659882451692e-06 9.88744233226021e-05 5.11684245422643
"Dnaja1" 0.44834290292385 8.37015360282473 5.02095601290992 1.19445873978046e-06 0.000100682184367603 5.09399988543817
"Gm48552" -0.379480802734115 7.69993394600613 -5.01970024714714 1.20135744378342e-06 0.000100682184367603 5.08854706495696
"Brd2" 0.40430395349424 8.18583339305055 5.00060992060988 1.31111419071795e-06 0.000109241729460342 5.00577977066223
"Dcps" 0.389032823178168 7.70152665731486 4.99781233224699 1.32799396694269e-06 0.000110008563816507 4.99367073791024
"1600014C23Rik" -0.217371932322185 7.34629383675457 -4.99513746380045 1.34433020274711e-06 0.000110550546289826 4.98209769165989
"Mir124-2hg" -0.513919080532425 9.93055038712248 -4.99422216766391 1.34996480362288e-06 0.000110550546289826 4.97813866458378
"Spc25" -0.393453592792525 7.61790970897556 -4.98982376399098 1.37736246999337e-06 0.000112153304303835 4.95912146668247
"Arhgef2" 0.363507857414192 7.68951865338754 4.98624921969534 1.40002462719973e-06 0.000113354536341239 4.94367572797969
"Hk2" -0.403465345391413 8.00314515318357 -4.98049794166223 1.43724757400814e-06 0.000115714578556801 4.91884189293724
"Sptan1" 0.43967125282922 8.69906113511592 4.94703540460222 1.67360794373453e-06 0.000133991482914299 4.77478454717062
"Trak2" 0.475780958195922 8.24480103305599 4.9420726331475 1.7117235344671e-06 0.000136281722069156 4.75348269790615
"Glmn" 0.421838279818115 8.33642919186531 4.93846198337098 1.73998150796045e-06 0.000137766160168957 4.73799485764833
"Tubb5" 0.384412427123768 9.48783805190117 4.93223208395422 1.78980440300607e-06 0.000140932345601539 4.71129210682436
"Ptpn1" 0.285366720103285 7.48288062495209 4.92932272928341 1.81354233177633e-06 0.000142021175719599 4.69883078158744
"Lsm14a" 0.483280191696977 8.70961847089971 4.92650664017051 1.83680956564846e-06 0.000142442599255004 4.68677428452943
"C2cd2l" 0.408284913114909 9.22223297311441 4.92626702060733 1.83880265593299e-06 0.000142442599255004 4.68574864665417
"Slc19a1" 0.289128774534796 7.5615925700335 4.92314324132325 1.86497781824063e-06 0.000143693532866702 4.67238150002645
"Phf23" 0.292746759440671 7.61616691880788 4.91501911118577 1.93475344178629e-06 0.000148272468311441 4.63764744071326
"Trf" 0.815446812324752 9.15688534892598 4.94853538003953 1.98434304821198e-06 0.000150463599068391 4.63157939248674
"Rnf144b" 0.339978241182987 7.54785467610256 4.91301811073725 1.95232362374131e-06 0.00014882313750977 4.6290990663529
"Slc25a37" 0.328480296996209 7.55879515975416 4.89649289659039 2.10345454538491e-06 0.000158655826789006 4.55860452257444
"Hnrnph3" 0.388060487524301 8.56998667146867 4.88299196335099 2.23527716712296e-06 0.000167716005665126 4.50114648102816
"Baz2a" 0.32062905726344 7.72272146238133 4.87638712507785 2.30264542874555e-06 0.00017187089395496 4.47308163735388
"Gramd2" -0.333757988584729 7.77125442728323 -4.8522258594597 2.56623327224859e-06 0.000190094575207984 4.37066631416692
"Ptges3" 0.382708388418914 8.1612624522617 4.8507485130155 2.58326422534559e-06 0.000190094575207984 4.36441682040306
"March5" 0.373371699539982 7.96129387230577 4.85046099367606 2.58659145667133e-06 0.000190094575207984 4.36320072223354
"Enox1" -0.292898430907411 7.54546562395681 -4.8319670606899 2.80954162482901e-06 0.000205426229721554 4.28509526331518
"Rcvrn" -0.5892280386272 11.2433786878722 -4.82246481120319 2.93121197388757e-06 0.000213234511663872 4.24505405323547
"Cds1" -0.505854924739503 8.90822272255573 -4.81995088119696 2.96424420879487e-06 0.000214548402809289 4.23447088476522
"Tnni2" 0.445021515769075 7.72429068637003 4.81750148183658 2.99677461354203e-06 0.000215812949681763 4.22416348485229
"Gnat1" -0.670740038039495 13.2564655959181 -4.81359557741596 3.04936419265034e-06 0.00021850219122436 4.20773530625959
"Otud7b" 0.333636088252128 8.04604649913132 4.80713056805534 3.13837668452015e-06 0.000223761573461981 4.18056624329813
"Pla2g7" -0.474111962678967 8.3344236140775 -4.79635797612915 3.29230632609892e-06 0.000233574465145166 4.13535752469796
"Naa35" 0.36690784459425 7.68514443263349 4.78872982397475 3.40569258466555e-06 0.000240428475028778 4.10339247791672
"Clip4" 0.303289766741647 7.63534183583568 4.78354660046995 3.48488100625627e-06 0.000244812890689503 4.08169520998698
"Pdpn" 0.392717463658403 7.63057055937628 4.78132489361006 3.51936612481482e-06 0.000245463054662956 4.0724006069072
"Oxct1" 0.348279462328805 7.88827049910706 4.78074685938444 3.52839224482374e-06 0.000245463054662956 4.06998292659404
"Senp6" 0.296407425814143 7.65048648865847 4.77719952272461 3.58427654338069e-06 0.000248146218083037 4.05515084520327
"Hist1h2bc" -0.489590383757411 9.26632632596745 -4.77231292728201 3.66266201259677e-06 0.000252353890877521 4.03473308648586
"Cpe" -0.546511661623838 10.6770765030495 -4.75868733256742 3.89007828868163e-06 0.000266740248588978 3.97788686988852
"Ap2a2" -0.422277044900233 9.08185722831849 -4.73741154475182 4.27269575591706e-06 0.00029158096608594 3.88937723649717
"Glo1" 0.498755873579107 9.11976269257525 4.7302982786612 4.40854254526239e-06 0.000299425702446234 3.85985430061953
"Serpina3n" 0.531917976075177 7.42932285127608 4.7597627552563 4.55104317562694e-06 0.000307646225235423 3.84753411591072
"Prcd" -0.522596618969623 9.90183938218702 -4.72105077944991 4.5913958865558e-06 0.000308102437642739 3.82152525683998
"Cep250" -0.32741033594671 7.82569243348955 -4.72058534642793 4.60079001155161e-06 0.000308102437642739 3.81959767941932
"Acta1" 0.478698810396549 7.91751561091419 4.71291089232683 4.75839051036825e-06 0.000317174392577151 3.78783558436647
"Cd63" 0.429355284659684 8.10050825583802 4.71101519446406 4.79811557531405e-06 0.000318341640323267 3.77999612940596
"Ndrg3" -0.390880794743929 9.50061770887017 -4.70755023170763 4.87155417154524e-06 0.000321724621347534 3.76567352887181
"Nudt6" 0.204155977637509 7.31417666952481 4.69627677007405 5.11807602865965e-06 0.000336021012295865 3.71913122594843
"Usp18" 0.169194076397928 7.25056715869295 4.69552554945088 5.13492440812187e-06 0.000336021012295865 3.71603293203896
"Pdk1" -0.225787044385529 7.3785497090324 -4.68519167314623 5.37219649558367e-06 0.000349949763537316 3.67345190915312
"Optn" -0.335502764191592 7.89705787503971 -4.68319341875561 5.41928274658224e-06 0.000351419642720679 3.66522654113559
"Yars" 0.313013566124447 7.73862735413566 4.66356637101483 5.90344177045622e-06 0.000381091099154991 3.5845827227197
"Sp3os" -0.264602553242975 7.48856413618132 -4.65117248462682 6.23039095430885e-06 0.000400393420476234 3.53379584705744
